Paper Title,Review Text,Review Type,Abstract
Adaptive prototype few-shot image classification method based on feature pyramid,"Few-Shot Image Classification is an emerging but promising research direction, which has far-reaching significance for some specific situations. In this paper, the authors also focused on this task and made a certain contribution, which is meaningful on the whole. But the reviewers still have some questions about the article that require the author to consider and elaborate, for instance:
1.Abbreviations should have clear and accurate correspondence with their full terms, such as Feature Pyramid and APFP in the abstract.
2.There are many methods to improve few-shot learning performance by refining prototypes or, more specifically, using multiple prototypes. What differentiates the framework proposed in this paper? A deeper analysis and comparison are highly necessary.
3.It is recommended to replace Figure 3 with real features rather than a toy example.
4.Even the best algorithms can fail in certain situations. Analyzing these cases helps readers gain a deeper understanding.
5.In addition, the application of few-shot learning techniques in other domains such as object detection, semantic segmentation, etc., should also be mentioned in the paper. The authors can refer to the following articles: spnet: siamese-prototype network for few-shot remote sensing image scene classification; holistic prototype activation for few-shot segmentation; base and meta: a new perspective on few-shot segmentation; few-shot segmentation via divide-and-conquer proxies.
6.It appears that the experiments in the paper primarily focus on classification accuracy, but algorithmic complexity (memory footprint, runtime, parameter count, etc.) is also a crucial evaluation metric that significantly impacts practical efficiency in real-world applications.
7.Correct the grammatical mistakes and polish them with native speakers if possible.",Generic,"Few-shot learning aims to enable machines to recognize unseen novel classes using limited samples akin to human capabilities. Metric learning is a crucial approach to addressing this challenge, with its performance primarily dependent on the effectiveness of feature extraction and prototype computation. This article introduces an Adaptive Prototype few-shot image classification method based on Feature Pyramid (APFP). APFP employs a novel feature extraction method called FResNet, which builds upon the ResNet architecture and leverages a feature pyramid structure to retain finer details. In the 5-shot scenario, traditional methods for computing average prototypes exhibit limitations due to the typically diverse and uneven distribution of samples, where simple means may inadequately reflect such diversity. To address this issue, APFP proposes an Adaptive Prototype method (AP) that dynamically computes class prototypes of the support set based on the similarity between support set samples and query samples. Experimental results demonstrate that APFP achieves 67.98% and 85.32% accuracy in the 5-way 1-shot and 5-way 5-shot scenarios on the MiniImageNet dataset, respectively, and 84.02% and 94.44% accuracy on the CUB dataset. These results indicate that the proposed APFP method addresses the few-shot learning problem."
Relation semantic fusion in subgraph for inductive link prediction in knowledge graphs,"In this study, the authors developed an inductive link prediction model that learns logical rules to predict unseen entities. The core feature of this method is its enhanced capability to extract data from graphs. However, several issues need to be addressed to improve the readability of the study:
- The title should be rewritten for clarity.
- Notations and references should be consistent (e.g., ""Re"" in ""LeakyReLU"" in Equation 2 should have the same font as other characters; figure references are inconsistently written as ""figure 3"" and ""Figure3"").
- Figure 3 is confusing because it does not explain the meaning of the solid and dashed arrow symbols.

The research questions in the study are not clearly defined, making it difficult to understand the specific objectives the authors aim to address. Additionally, the new components added to the model should be presented more clearly in accordance with the overall structure of the article.",Generic,"Inductive link prediction (ILP) in knowledge graphs (KGs) aims to predict missing links between entities that were not seen during the training phase. Recent some subgraph-based methods have shown some advancements, but they all overlook the relational semantics between entities during subgraph extraction. To overcome this limitation, we introduce a novel inductive link prediction model named SASILP (Structure and Semantic Inductive Link Prediction), which comprehensively incorporates relational semantics in both subgraph extraction and node initialization processes. The model employs a random walk strategy to calculate the structural scores of neighboring nodes and utilizes an enhanced graph attention network to determine their semantic scores. By integrating both structural and semantic scores, SASILP strategically selects key nodes to form a subgraph. Furthermore, the subgraph is initialized with a node initialization technique that integrates information about neighboring relations. The experiments conducted on benchmark datasets demonstrate that SASILP outperforms state-of-the-art methods on inductive link prediction tasks, and verify the effectiveness of our approach."
Fairness-enhancing classification methods for non-binary sensitive features—How to fairly detect leakages in water distribution systems,"The manuscript, titled ""Fairness-enhancing classification methods for non-binary sensitive features - How to fairly detect leakages in water distribution systems,"" is well developed; however, I have some concerns after a complete review of the paper, which are:
1. The abstract needs to be rewritten in significant writing, and the conclusion needs to include the percent improvement in the proposed work.
2. The significance or novelty of the study must be included in the introduction section of the proposed work.
3. The problem of limitations in the proposed work is missing; some points are included, but it would be beneficial to explicitly state the specific limitations faced, providing more context for readers unfamiliar with the background study.
4. The literature is missing the latest related work; authors need to include the state-of-the-art in the proposed work, e.g.

Strotherm, J., & Hammer, B. (2023, June). Fairness-Enhancing Ensemble Classification in Water Distribution Networks. In International Work-Conference on Artificial Neural Networks (pp. 119-133). Cham: Springer Nature Switzerland.

5. Figure 1 is very simple and having no titles?
6. The graphs are very simple; it would be better to compare your work to the state-of-the-art.
7. Minor typos and grammatical mistakes need correction before revision.",Authentic,"Especially if artificial intelligence (AI)-supported decisions affect the society, the fairness of such AI-based methodologies constitutes an important area of research. In this contribution, we investigate the applications of AI to the socioeconomically relevant infrastructure of water distribution systems (WDSs). We propose an appropriate definition of protected groups in WDSs and generalized definitions of group fairness, applicable even to multiple non-binary sensitive features, that provably coincide with existing definitions for a single binary sensitive feature. We demonstrate that typical methods for the detection of leakages in WDSs are unfair in this sense. Further, we thus propose a general fairness-enhancing framework as an extension of the specific leakage detection pipeline, but also for an arbitrary learning scheme, to increase the fairness of the AI-based algorithm. Finally, we evaluate and compare several specific instantiations of this framework on a toy and on a realistic WDS to show their utility."
Ensemble learning approach for distinguishing human and computer-generated Arabic reviews,"Authors have proposed a study to classify human and computer-generated Arabic reviews, with the aim of detecting fake reviews produced by computers.
This is an interesting study ,however there are some points that need to addressed strictly before decising about its acceptance. May address the following points.

Clarify the methodology section by providing more details on the feature selection process
Provide more context on the limitations of the study
In the results section, provide additional statistical analysis to support the observed differences in lexical and emotional features between human-generated and machine-generated reviews",Generic,"While customer reviews are crucial for businesses to maintain their standing in the marketplace, some may employ humans to create favorable reviews for their benefit. However, advances in artificial intelligence have made it less complex to create these reviews, which now rival real ones written by humans. This poses a significant challenge in distinguishing between genuine and artificially generated reviews, thereby impacting consumer trust and decision-making processes. Research has been conducted to classify whether English reviews were authored by humans or computers. However, there is a notable scarcity of similar studies conducted in Arabic. Moreover, the potential of ensemble learning (EL) techniques, such as soft voting, to enhance model performance remains underexplored. This study conducts a comprehensive empirical analysis using various models, including traditional machine learning, deep learning, and transformers, with an investigation into ensemble techniques, like soft voting, to classify human and computer-generated Arabic reviews. Integrating top logistic regression (LR) and convolutional neural network (CNN) models, it achieves an accuracy of 89.70%, akin to AraBERT’s 90.0%. Additionally, a thorough textual analysis, covering parts of speech (POS), emotions, and linguistics reveals significant linguistic disparities between human and computer-generated reviews. Notably, computer-generated reviews exhibit a substantially higher proportion of adjectives (6.3%) compared to human reviews (0.46%), providing crucial insights for discerning between the two review types. The results not only advance natural language processing (NLP) in Arabic but also have significant implications for businesses combating the influence of fake reviews on consumer trust and decision-making."
Optimal robust configuration in cloud environment based on heuristic optimization algorithm,"This paper addresses the following three questions:
1. How to model the cloud environment with perturbations?
2. How to conduct robustness metrics on the model?
3. How to determine the optimal configuration to ensure robustness?

While the paper appears to be well-researched and includes notable contributions, it is challenging to follow. The detailed technical aspects can obscure the main problem statement and the primary contribution of the paper.

The paper's abstract fails to adequately describe the methodology of the proposed techniques, including how they improve upon existing methods to yield better results. Additionally, the abstract lacks examples of results. Furthermore, the abstract does not explain what ESOA and WOA methods are or why they were selected in particular.

In terms of system modeling, it is not clear whether the model presented is the authors' contribution or taken from existing literature. At certain points, the authors reference that it has been introduced in other publications, such as the waiting time and cost modeling. If these models are novel contributions from the authors, further explanation on the reasoning behind the equations and the authors' specific contributions should be provided.

In the problem description section, it is mentioned that, to the best of the authors' knowledge, perturbation factors have not been previously discussed in the modeling and solving process of the problem presented in the paper. The paper intends to describe the impacts of specific perturbation factors on the profit of cloud service providers and the waiting time of customers. It considers server size and speed as key factors. However, it is unclear why these two factors were chosen specifically, and what is meant by server size. The paper then sets values for some parameters, such as ""a"" and lambda, without explaining the reasons for choosing these values, which could affect the analysis. Additionally, in this section, particularly in Figure 2a, the caption may be incorrect as it indicates waiting time rather than profit.",Authentic,"To analyze performance in cloud computing, some unpredictable perturbations that may lead to performance degradation are essential factors that should not be neglected. To prevent performance degradation in cloud computing systems, it is reasonable to measure the impact of the perturbations and propose a robust configuration strategy to maintain the performance of the system at an acceptable level. In this article, unlike previous research focusing on profit maximization and waiting time minimization, our study starts with the bottom line of expected performance degradation due to perturbation. The bottom line is quantified as the minimum acceptable profit and the maximum acceptable waiting time, and then the corresponding feasible region is defined. By comparing between the system’s actual working performance and the bottom line, the concept of robustness is invoked as a guiding basis for configuring server size and speed in feasible regions, so that the performance of the cloud computing system can be maintained at an acceptable level when perturbed. Subsequently, to improve the robustness of the system as much as possible, discuss the robustness measurement method. A heuristic optimization algorithm is proposed and compared with other heuristic optimization algorithms to verify the performance of the algorithm. Experimental results show that the magnitude error of the solution of our algorithm compared with the most advanced benchmark scheme is on the order of 10 ?? , indicating the accuracy of our solution."
Automatic spread factor and position definition for UAV gateway through computational intelligence approach to maximize signal-to-noise ratio in wooded environments,"1. Within the scope of the study, it was aimed to determine the best position and optimal spreading factor for Unmanned Aerial Vehicles.

2. In the Introduction section, Long-Range technology and the importance of the subject are mentioned in detail and sufficiently.

3. In the Related works section, existing studies in the literature in this field and their main contributions are basically mentioned.

4. The dataset, number of samples and SNR values used in the study are sufficient.

5. Multi-Layer Perceptron Network and General Regression Neural Networks were used in the study to predict signal behavior. Although there are different neural networks that can be used for this process in the literature, it should be explained in more detail why these two models are preferred.

6. For the optimizer, bioinspired Grey-Wolf optimizer was preferred in the study. Although the optimizer chosen to solve the problem is suitable, explain why this optimizer is preferred and the reasons why a different optimizer is not used and/or preferred.

7. The results and RMSE obtained as a result of the study are sufficient.

8. It is recommended that the future work section in the Conclusion section be detailed a little more.

As a result, although the study is sufficient in terms of the problem and originality addressed, it is recommended to examine the parts mentioned above.",Authentic,"The emergence of long-range (LoRa) technology, together with the expansion of uncrewed aerial vehicles (UAVs) use in civil applications have brought significant advances to the Internet of Things (IoT) field. In this way, these technologies are used together in different scenarios, especially when it is necessary to have connectivity in remote and difficult-to-access locations, providing coverage and monitoring of greater areas. In this sense, this article seeks to determine the best positioning for the LoRa gateway coupled to the drone and the optimal spreading factor (SF) for signal transmission in a LoRa network, aiming to improve the connected devices signal-to-noise ratio (SNR), considering a suburban and densely wooded environment. Then, multi-layer perceptron (MLP) networks and generalized regression neural networks (GRNN) were trained to predict the signal behavior and determine the best network to represent this behavior. The MLP network presented the lowest RMSE, 2.41 dB, and was selected for use jointly with the bioinspired Grey-Wolf optimizer (GWO). The optimizer proved its effectiviness being able to adjust the number of UAVs used to obtain 100% coverage and determine the best SF used by the endnodes, guaranteeing a higher transmission rate and lower energy consumption."
Enhancing energy balance in wireless sensor networks through optimized minimum spanning tree,"The paper should discuss the scalability of the proposed solution and its feasibility in real-world deployments. Insights into computational overheads, real-time applicability, and compatibility with existing network protocols would be valuable.

While the paper briefly mentions future work, a more detailed discussion on the limitations of the current study would be useful. This might include potential challenges in implementing the algorithm in highly dynamic environments or under varying environmental conditions.

Additional graphical representations and visualizations of the network operations, energy distributions, and before-and-after scenarios with the application of the MST could enhance the comprehensibility and impact of the results.

Information about the simulation tools and software used, along with the settings for Prim’s algorithm implementation, would aid in replicability and validation of the study by other researchers.

Overall, the research presents a promising approach to addressing energy imbalances in wireless sensor networks, with significant implications for enhancing network efficiency and sustainability. Further detailing in certain aspects of the study could make the article even more robust and impactful.",Generic,"Wireless sensor networks (WSNs) are important for applications like environmental monitoring and industrial automation. However, the limited energy resources of sensor nodes pose a significant challenge to the network’s longevity. Energy imbalances among nodes often result in premature failures and reduced overall network lifespan. Current solutions have not adequately addressed this issue due to network dynamics, varying energy consumption rates, and uneven node distribution. To tackle this, we propose a novel method using Prim’s algorithm to construct minimum spanning trees (MSTs) that enhance energy balance in WSNs. Prim’s algorithm effectively identifies optimal connections among network nodes to minimize energy consumption. Our methodology includes several key steps: network initialization, energy consumption modeling, MST construction using Prim’s algorithm, and optimizing the movement of mobile sink nodes. Extensive experiments with diverse datasets show that our approach significantly improves energy equilibrium, demonstrating high sensitivity and moderate complexity. This research underscores the potential of Prim’s algorithm to extend the lifespan of WSNs and enhance energy efficiency, contributing to sustainable and effective network deployments."
Enhancing machine learning-based forecasting of chronic renal disease with explainable AI,"1. Line 68: The sentence ""After rigorous tests using…"" is incomplete.
2. Line 83: Please spell out the full name of ""DL"" since it's the first time it is mentioned.
3. Lines 108–115: The description of the dataset is insufficient. Please provide more information, such as a statistical summary including the value for each attribute, the count of each attribute's records, and the count of CRD positive/negative for each value. What is the total count (N) of the dataset? In lines 110-111, is 400 the count? What does the class attribute mean? Please provide further explanation. In line 114, what does 158 mean? Does it mean 158 records out of all records have missing values? Or are there only 158 fields in the whole dataset with missing values? Please provide further explanation.
4. Lines 174–185: One of the possible effects of using SMOTE is overfitting. Is an accuracy of 99.07% indicative of overfitting? Please add the number of records used in the model before and after SMOTE.
5. Line 190: The reviewer suggests adding evaluation results before/after parameter tuning or for each potential parameter combination to show the difference and improvement of results using GridSearchCV. Taking accuracy as an example, before parameter tuning, the accuracy is 92%, and after finding the best parameter, the accuracy is 99%. These numbers will intuitively show the effect of parameter tuning.
6. Line 306: Again, please provide the number of records in the dataset. How many for the training set and how many for the testing set?
7. Table 4: What are ""TN, FP, FN, TP""? They are not explained in the manuscript.
8. Figure 8: This figure doesn't provide much meaningful interpretation. The height of each group of bars is similar and hard to differentiate with the naked eye. The values are not shown in the bar chart. If not presenting the same evaluation parameter of each classifier together (for example, putting the precision of the 6 classifiers together), it's really hard to discern the difference and make comparisons.
9. Lines 357–358: Do the four classifiers give the exact same accuracy?
10. Lines 395–402: The meaning of the illustration in this paragraph is obvious. But the description doesn't explain Figure 11 well. Please further explain.
11. Lines 423–433: The description of Figures 14 and 15 is insufficient. In lines 427–428, what does ""orange bar represents a positive prediction"" mean? Why would there be a negative value when predicting a positive value? What do the numbers in the table mean? What's their significance? In the bar chart, what do the numbers on the bars mean (e.g., in Fig.14, 0.12 of specific gravity)? What does the number of the feature threshold mean (e.g., in Fig.14, <=-0.42 of specific gravity)? What do the positive and negative signs in these values mean? What do the numbers in the legend represent in the chart/table? Why is there no color for the legend in Fig. 15? Please further address the above issues.
12. Lines 434–452: The results show certain features are important for CRD prediction. Does this result align with research experience in the medical field? Is there any validation with practical medical research or experience?",Authentic,"Chronic renal disease (CRD) is a significant concern in the field of healthcare, highlighting the crucial need of early and accurate prediction in order to provide prompt treatments and enhance patient outcomes. This article presents an end-to-end predictive model for the binary classification of CRD in healthcare, addressing the crucial need for early and accurate predictions to enhance patient outcomes. Through hyperparameter optimization using GridSearchCV, we significantly improve model performance. Leveraging a range of machine learning (ML) techniques, our approach achieves a high predictive accuracy of 99.07% for random forest, extra trees classifier, logistic regression with L2 penalty, and artificial neural networks (ANN). Through rigorous evaluation, the logistic regression with L2 penalty emerges as the top performer, demonstrating consistent performance. Moreover, integration of Explainable Artificial Intelligence (XAI) techniques, such as Local Interpretable Model-agnostic Explanations (LIME) and SHapley Additive exPlanations (SHAP), enhances interpretability and reveals insights into model decision-making. By emphasizing an end-to-end model development process, from data collection to deployment, our system enables real-time predictions and informed healthcare decisions. This comprehensive approach underscores the potential of predictive modeling in healthcare to optimize clinical decision-making and improve patient care outcomes."
The role of Internet of Things (IoT) technology in modern cultivation for the implementation of greenhouses,"In this paper, the author performs a review of Internet of Things technology in Modern Cultivation for the Implementation of Greenhouses.

The paper presentation needs special attention. Please revise your paper according to the below suggestions.
1) The abstract and the conclusion section should be more polished. The future work should be the part of conclusion section.
2) The paper organization missing at the end of the paper. Please mention this at the end of the introduction section.
3) The contribution should be mentioned in bullets.
4) Section 2 state of the art of related work is missing. Please add this section, and cite the most recent state of the art in this area. In addition, the difference between state-of-the-art and your research should be mentioned in this section.

5) Please reduce section 3 and remove unnecessary subsections, i.e. 2.10.1 Networks and Technologies. It is advised to add the most recent studies in other sections.
6) The section is shortened, please increase by adding more studies in this section.
7) Polish challenges section.
8) Check English and grammar for typos and mistakes.",Authentic,"In recent years, the Internet of Things (IoT) has become one of the most familiar names creating a benchmark and scaling new heights. IoT an indeed future of the communication that has transformed the objects (things) of the real world into smarter devices. With the advent of IoT technology, this decade is witnessing a transformation from traditional agriculture approaches to the most advanced ones. Limited research has been carried out in this direction. Thus, herein we present various technological aspects involved in IoT-based cultivation. The role and the key components of smart farming using IoT were examined, with a focus on network technologies, including layers, protocols, topologies, network architecture, etc. We also delve into the integration of relevant technologies such as cloud computing, big data analytics, and the integration of IoT-based cultivation. We explored various security issues in modern IoT cultivation and also emphasized the importance of safeguarding sensitive agricultural data. Additionally, a comprehensive list of applications based on sensors and mobile devices is provided, offering refined solutions for greenhouse management. The principles and regulations established by different countries for IoT-based cultivation systems are presented, demonstrating the global recognition of these technologies. Furthermore, a selection of successful use cases and real-world scenarios and applications were presented. Finally, the open research challenges and solutions in modern IoT-based cultivation were discussed."
Modelling the effects of perceived system quality and personal innovativeness on the intention to use metaverse: a structural equation modelling approach,"This is a well-written paper that covers a timely and interesting topic. However, there are a few suggestions to improve the quality of this good work:

Introduction Section: The introduction is too short and should be extended. Focus on providing a clearer research problematization and emphasize the main contributions of your work. This will help readers understand the significance and context of your study from the outset.

Paper Structure: It is important to add a paragraph at the end of the introduction section to outline the structure of the paper. This will guide readers through the organization of your manuscript and set clear expectations.

Methodology Section: More details are required regarding the sample population, sampling technique, and the adequacy of the sample size. Providing this information will enhance the transparency and replicability of your research.

Theoretical Foundation and Hypotheses Development: Strengthen the theoretical foundation and hypotheses development by incorporating recent and related research on the metaverse. This will provide a more robust conceptual framework for your study and align it with current scholarly discourse.
Discussion Section: Utilize the incorporated studies mentioned in the theoretical foundation to strengthen the discussion section. This will help in contextualizing your findings within the broader literature and highlight the implications of your research.

By addressing these suggestions, the overall quality and impact of your paper will be significantly improved.",Authentic,"The metaverse, an interactive and immersive 3D virtual environment, has recently become popular and is widely used in several fields, including education. However, the successful use of metaverse relies on the extent to which users intend to adopt and use it. Close examination of this critical issue reveals a lack of research that examines the effects of certain factors on users’ intentions toward using metaverses. Thus, this study extends the technology acceptance model by integrating two constructs—perceived system quality and students’ personal innovativeness. Using a survey to collect data, 164 responses were received from students at the University of Ha’il in Saudi Arabia. Two steps in structural equation modelling (SEM) using the AMOS software were applied to analyse the data and test the research hypotheses. The results revealed that perceived system quality had a significant effect on students’ intentions to use metaverses through perceived ease of use. Furthermore, personal innovativeness had a significant effect on students’ intentions through the perceived usefulness of the metaverse. In addition, perceived usefulness affected students’ intentions to use a metaverse. Surprisingly, perceived ease of use had an insignificant effect on students’ intentions to use the metaverse. Although the proposed model and its findings contribute to the technology acceptance model (TAM) literature, the study’s practical value is significant because it can help educational policymakers and authorities to understand the effect of each factor and plan future strategies. Additionally, the findings of this study can assist practitioners, designers, and developers in designing and promoting the utilisation of metaverses."
Enabling personalized smart tourism with location-based social networks,"The study presents original primary research within the scope of the journal. The research question is well-defined, relevant, and meaningful. The authors clearly state how their research addresses an identified knowledge gap in the literature on smart tourism and LBSNs.

The methodology is described in sufficient detail to allow replication. The authors use a robust experimental design, incorporating both representation learning and contrastive learning techniques. However, the explanation of some methods could be elaborated for better understanding. For example, the process of how the contextual information from LBSNs is embedded could be detailed further.

The investigation is performed to a high technical and ethical standard. There is no indication of ethical concerns in the data collection or analysis procedures.


The data provided are robust, statistically sound, and well-controlled. The authors employ rigorous statistical methods to analyze the data, ensuring that the results are reliable.

The conclusions are well-stated and directly linked to the original research question. They are supported by the results presented, providing a clear answer to the research question. The authors successfully limit their conclusions to what their data can support, avoiding overgeneralization.

Strengths:
- The integration of LBSNs with deep learning techniques for personalized smart tourism is innovative and addresses a significant gap in the literature.
- The study uses a comprehensive and methodologically sound approach, enhancing the reliability of the findings.
- The manuscript is well-structured and clearly written, facilitating understanding.

Weaknesses:
- Minor grammatical errors and awkward phrasings should be addressed to improve clarity.
- The explanation of some methodological aspects could be expanded for better comprehensibility.
- Ensure all figures and tables are correctly cited in the text.",Authentic,"With the rapid advance of mobile internet, communication technology and the Internet of Things (IoT), the tourism industry is undergoing unprecedented transformation. Smart tourism offers users personalized and customized services for travel planning and recommendations. Location-based social networks (LBSNs) play a crucial role in smart tourism industry by providing abundant data sources through their social networking attributes. However, applying LBSNs to smart tourism is a challenge due to the need to deal with complex multi-source information modeling and tourism data sparsity. In this article, to fully harness the potential of LBSNs using deep learning technologies, we propose an knowledge-driven personalized recommendation method for smart tourism. Representation learning techniques can effectively modeling the contextual information ( e.g. , time, space, and semantics) in LBSNs, while the data augmentation strategy of contrastive learning techniques can explore user personalized travel behaviors and alleviate data sparsity. To demonstrate the effectiveness of the proposed approach, we conducted a case study on trip recommendation. Furthermore, the patterns of human mobility are revealed by exploring the effect of contextual data and tourist potential preferences."
Pre-touch reaction is preferred over post-touch reaction in interaction with displayed agent,"The article aims at investigating how different types of human-machine interaction methodologies (pre-touch or post-touch reactions) affect the user's perception of an avatar in the context of display-based (2D) agents.
The article is well structured and the research question is clear. Despite that, several sections result to be poorly written [1-2], confusing [3-4] or trivial [5] and could be simplified.
Moreover, the authors did not mention how they dealt with the issue presented at line 47 [6]. It results unclear whether they decided to consider the distance between user hand and avatar face or between user hand and display physical boundary. In fact, at line 144, the authors argue that the UltraLeap sensor ""calculates the distance between the display surfaces [...] and the detected hands of the participants."" Thus implying that the distance measured is between user hand and display.
However, in Figure 3, it looks like the only difference between the 20cm condition and the 45cm condition is the distance of the agent within the virtual environment, while the user hand is at the same distance with respect to the screen.
For a better understanding and reproducibility of the experiment, it should be clarified:
a) which distance was actually measured,
b) what is the rationale that motivated the authors to measure one distance over the other.

Moreover, the objective of the ""Implications"" section should be stated more clearly, as it currently enumerates a series of state-of-the-art issues (e.g. define a logic to manage pre/post touch behavior according to the position of the agent [7], pre-touch reactions in teleoperated avatars [8], etc.) that are not addressed in the research and that would better fit the ""Related works"" section.

[1] (line 20) ""To design the pre-touch reaction of such an agent, we focused on the display's physical boundary as a criterion for pre-touch by agents on the display.""
[2] (line 89) ""For example, Shiomi et al. modeled the pre-touch reaction distance around the face from a data collection with people and implemented a model to investigate the importance of pre-touch reaction distance toward a social robot (Shiomi et al. 2018b).""
[3] (line 78) ""Moreover, past studies have focused on spatial interaction with such displayed agents, e.g., a scene where people encountered the displayed agent, and reported how their interaction distances differed based on the people's impressions toward the displayed agents (Cafaro et al. 2016).""
[4] (line 278) ""The teleoperated avatar's pre-touch reaction resembles a visualization of remote touch interaction in distant locations.""
[5] (line 46) ""One notable difference between the displayed agents and robots/agents is the existence of a display.""
[6] (line 47) ""Unlike robots in physical environments and agents in VR environments, it is unclear whether the criterion for the pre-touch reaction distance to which the display agents should respond is the distance from the face on the displayed image or to the display's physical boundary.""
[7] (line 268) ""Modifying the reaction behaviors, depending on the places that are actually touched would be useful for refusing excessive or 'bad' touches, as suggested by a past study (Kimoto & Shiomi 2024).""
[8] (line 277) ""From another perspective, a pre-touch reaction is useful for a teleoperated avatar to increase the perceptions of being touched by the operator.""",Authentic,"A pre-touch reaction, which is a response before a physical contact, is an essential factor for natural human-agent interaction. Although numerous studies have investigated the effectiveness of pre-touch reaction design for virtual agents in virtual reality (VR) environments and robots in physical environments, one area remains underexplored: displayed agents, i.e., on-screen computer graphics agents. To design an appropriate pre-touch reaction for such a displayed agent, this article focused on the display’s physical boundary as a criterion for the pre-touch reaction of the agent. This article developed a displayed agent system that can detect both the touch events on the screen and the pre-touch behaviors of the interacting people around the display. This study examined the effectiveness of the pre-touch reactions of the displayed agent by the developed system in experiments with human participants. The findings revealed that people significantly preferred pre-touch reactions over post-touch reactions in the context of perceived feelings."
Developing a tablet-based brain-computer interface and robotic prototype for upper limb rehabilitation,"The writing is clear and easy to follow, with professional English used throughout. The literature references and field background/context are sufficient. The article structure is professional, but it would be beneficial to share raw data. The results are self-contained and relevant to the hypothesis.

1. The research question is well-defined and relevant to the journal's Aims and Scope, exploring the integration of BCI technology with a virtual end-effector robot in a game setting for upper limb dysfunctions. The research fills an identified knowledge gap in the field.
2. The investigation is original primary research, but the sample size of 12 subjects seems a bit small. Consider using open datasets as a secondary dataset to further validate the results.
3. The methods are described with sufficient detail, but it would be beneficial to include more information to replicate the experiment.

1. The data provided is robust, but the use of LDA for classification without exploring other baseline models may limit the validity of the findings.
2. The results are statistically sound, but the conclusions may be overstated given the moderate accuracy of around 55-70%.",Generic,"Background
The current study explores the integration of a motor imagery (MI)-based BCI system with robotic rehabilitation designed for upper limb function recovery in stroke patients.

Methods
We developed a tablet deployable BCI control of the virtual iTbot for ease of use. Twelve right-handed healthy adults participated in this study, which involved a novel BCI training approach incorporating tactile vibration stimulation during MI tasks. The experiment utilized EEG signals captured via a gel-free cap, processed through various stages including signal verification, training, and testing. The training involved MI tasks with concurrent vibrotactile stimulation, utilizing common spatial pattern (CSP) training and linear discriminant analysis (LDA) for signal classification. The testing stage introduced a real-time feedback system and a virtual game environment where participants controlled a virtual iTbot robot.

Results
Results showed varying accuracies in motor intention detection across participants, with an average true positive rate of 63.33% in classifying MI signals.

Discussion
The study highlights the potential of MI-based BCI in robotic rehabilitation, particularly in terms of engagement and personalization. The findings underscore the feasibility of BCI technology in rehabilitation and its potential use for stroke survivors with upper limb dysfunctions."
Optimized virtual reality design through user immersion level detection with novel feature fusion and explainable artificial intelligence,"This paper aims to detect user immersion levels in VR using an efficient machine-learning model. The authors utilized a benchmark dataset based on user experiences in VR environments to conduct our experiments. a novel technique called Polynomial Random Forest (PRF) was proposed for feature engineering mechanisms. Extensive research experiments show that random forest outperformed state-of-the-art studies, achieving a high-performance score of 98%, using the proposed PRF technique. The paper is well organized and written. However, there are some issues to be clarified.
1. How to evaluate immersion, apart from subjective feelings, is there an objective evaluation criteria.
2. Are there any similar research data sets in the world? The data set in this paper includes 1000 samples, which is a small number and whether it covers enough usage cases and scenarios.
3. It is recommended to add references to the method of comparison.
4. For the innovative method PRF proposed in this paper, it is suggested to add pictures to represent the innovation of the algorithm.",Generic,"Virtual reality (VR) and immersive technology have emerged as powerful tools with numerous applications. VR technology creates a computer-generated simulation that immerses users in a virtual environment, providing a highly realistic and interactive experience. This technology finds applications in various fields, including gaming, healthcare, education, architecture, and training simulations. Understanding user immersion levels in VR is crucial and challenging for optimizing the design of VR applications. Immersion refers to the extent to which users feel absorbed and engrossed in the virtual environment. This research primarily aims to detect user immersion levels in VR using an efficient machine-learning model. We utilized a benchmark dataset based on user experiences in VR environments to conduct our experiments. Advanced deep and machine learning approaches are applied in comparison. We proposed a novel technique called Polynomial Random Forest (PRF) for feature generation mechanisms. The proposed PRF approach extracts polynomial and class prediction probability features to generate a new feature set. Extensive research experiments show that random forest outperformed state-of-the-art approaches, achieving a high immersion level detection rate of 98%, using the proposed PRF technique. We applied hyperparameter optimization and cross-validation approaches to validate the performance scores. Additionally, we utilized explainable artificial intelligence (XAI) to interpret the reasoning behind the decisions made by the proposed model for user immersion level detection in VR. Our research has the potential to revolutionize user immersion level detection in VR, enhancing the design process."
